Day,Section,Room,Hour,Minute,Title,Presenter,,
4,4A,304,9,25,Connections between genotype and phenotype at candidate loci for environmental adaptation in house mice,Rachel Thayer,,
4,4A,304,9,30,Evidence for widespread positive and negative selection in coding and conserved noncoding regions of Capsella grandiflora.,Robert Williamson,,
4,4A,304,9,35,Genetic structure and MHC diversity in Magellanic Penguin breeding colonies from Patagonia,Juan Bouzat,,
4,4A,304,9,40,In search of a wild type: defining terms and testing assumptions with data from Arabidopsis thaliana,Hilary Callahan,,
4,4B,304,10,15,Adaptation to polyploidy: Genomics of genome doubling in Mimulus monkeyflower,Josh Puzey,,
4,4B,304,10,20,Differentiation in critical photoperiod and flowering time in natural populations of Mimulus laciniatus along an elevational gradient,Paivi Leinonen,,
4,4B,304,10,25,What are the genetic underpinnings of shifts in the threshold of a plastic environmental response between populations of Mimulus douglasii,Laryssa Baldridge,,
4,4B,304,10,30,Integrating phylogenetic and trait data to understand how snake communities form over steep environmental gradients in the Nearctic,Frank Burbrink,,
4,4B,304,10,35,Intraspecific plasticity swamps interspecific variation in some freshwater fishes,Timothy Sosa,,
4,4B,304,10,40,Can underground seed dispersal provide predator escape,Rafael Rubio de Casas,,
4,4B,304,10,45,Personality across ontogeny in sister-species of Brachyrhaphis fishes from divergent environments: sex, predation and life-history trade-offs,David Money,
4,4B,304,10,50,Variation in adaptive resilience underscores differences in vulnerability to a changing environment for an ecologically important fish species,Luciano Beheregaray,,
4,4B,304,10,55,Urbanization and phenotypic divergence in minnows,Elizabeth Hassell,,
4,4B,304,11,00,Does parental exposure to glyphosate increase filial cannibalism in burying beetles, Nicrophorus orbicollis,Nicholas Berman,
4,4B,304,11,05,The mechanistic basis of natural amino acid variation in a metabolic enzyme in Colias butterflies,Michael Bramson,,
4,4B,304,11,10,Immunological benefits of sweet-talk in fruit flies,Nicholas Priest,,
4,4B,304,11,15,Do differences in glucocorticoid receptor GR or androgen receptor AR expression influence responsiveness to social partners in guppies,W. Jackson Reilly,,
4,4B,304,11,20,Fishing for genes: the distribution of nervous network components across cnidarians,Adolfo Lara,,
